"sg_unidade_federativa","co_municipio_ibge","no_municipio","in_ativo"
"RO",1100015,"Alta Floresta D'Oeste",1
"RO",1100023,"Ariquemes",1
"RO",1100031,"Cabixi",1
"RO",1100049,"Cacoal",1
"RO",1100056,"Cerejeiras",1
"RO",1100064,"Colorado do Oeste",1
"RO",1100072,"Corumbiara",1
"RO",1100080,"Costa Marques",1
"RO",1100098,"Espigão D'Oeste",1
"RO",1100106,"Guajará-Mirim",1
"RO",1100114,"Jaru",1
"RO",1100122,"Ji-Paraná",1
"RO",1100130,"Machadinho D'Oeste",1
"RO",1100148,"Nova Brasilândia D'Oeste",1
"RO",1100155,"Ouro Preto do Oeste",1
"RO",1100189,"Pimenta Bueno",1
"RO",1100205,"Porto Velho",1
"RO",1100254,"Presidente Médici",1
"RO",1100262,"Rio Crespo",1
"RO",1100288,"Rolim de Moura",1
"RO",1100296,"Santa Luzia D'Oeste",1
"RO",1100304,"Vilhena",1
"RO",1100320,"São Miguel do Guaporé",1
"RO",1100338,"Nova Mamoré",1
"RO",1100346,"Alvorada D'Oeste",1
"RO",1100379,"Alto Alegre dos Parecis",1
"RO",1100403,"Alto Paraíso",1
"RO",1100452,"Buritis",1
"RO",1100502,"Novo Horizonte do Oeste",1
"RO",1100601,"Cacaulândia",1
"RO",1100700,"Campo Novo de Rondônia",1
"RO",1100809,"Candeias do Jamari",1
"RO",1100908,"Castanheiras",1
"RO",1100924,"Chupinguaia",1
"RO",1100940,"Cujubim",1
"RO",1101005,"Governador Jorge Teixeira",1
"RO",1101104,"Itapuã do Oeste",1
"RO",1101203,"Ministro Andreazza",1
"RO",1101302,"Mirante da Serra",1
"RO",1101401,"Monte Negro",1
"RO",1101435,"Nova União",1
"RO",1101450,"Parecis",1
"RO",1101468,"Pimenteiras do Oeste",1
"RO",1101476,"Primavera de Rondônia",1
"RO",1101484,"São Felipe D'Oeste",1
"RO",1101492,"São Francisco do Guaporé",1
"RO",1101500,"Seringueiras",1
"RO",1101559,"Teixeirópolis",1
"RO",1101609,"Theobroma",1
"RO",1101708,"Urupá",1
"RO",1101757,"Vale do Anari",1
"RO",1101807,"Vale do Paraíso",1
"AC",1200013,"Acrelândia",1
"AC",1200054,"Assis Brasil",1
"AC",1200104,"Brasiléia",1
"AC",1200138,"Bujari",1
"AC",1200179,"Capixaba",1
"AC",1200203,"Cruzeiro do Sul",1
"AC",1200252,"Epitaciolândia",1
"AC",1200302,"Feijó",1
"AC",1200328,"Jordão",1
"AC",1200336,"Mâncio Lima",1
"AC",1200344,"Manoel Urbano",1
"AC",1200351,"Marechal Thaumaturgo",1
"AC",1200385,"Plácido de Castro",1
"AC",1200393,"Porto Walter",1
"AC",1200401,"Rio Branco",1
"AC",1200427,"Rodrigues Alves",1
"AC",1200435,"Santa Rosa do Purus",1
"AC",1200450,"Senador Guiomard",1
"AC",1200500,"Sena Madureira",1
"AC",1200609,"Tarauacá",1
"AC",1200708,"Xapuri",1
"AC",1200807,"Porto Acre",1
"AM",1300029,"Alvarães",1
"AM",1300060,"Amaturá",1
"AM",1300086,"Anamã",1
"AM",1300102,"Anori",1
"AM",1300144,"Apuí",1
"AM",1300201,"Atalaia do Norte",1
"AM",1300300,"Autazes",1
"AM",1300409,"Barcelos",1
"AM",1300508,"Barreirinha",1
"AM",1300607,"Benjamin Constant",1
"AM",1300631,"Beruri",1
"AM",1300680,"Boa Vista do Ramos",1
"AM",1300706,"Boca do Acre",1
"AM",1300805,"Borba",1
"AM",1300839,"Caapiranga",1
"AM",1300904,"Canutama",1
"AM",1301001,"Carauari",1
"AM",1301100,"Careiro",1
"AM",1301159,"Careiro da Várzea",1
"AM",1301209,"Coari",1
"AM",1301308,"Codajás",1
"AM",1301407,"Eirunepé",1
"AM",1301506,"Envira",1
"AM",1301605,"Fonte Boa",1
"AM",1301654,"Guajará",1
"AM",1301704,"Humaitá",1
"AM",1301803,"Ipixuna",1
"AM",1301852,"Iranduba",1
"AM",1301902,"Itacoatiara",1
"AM",1301951,"Itamarati",1
"AM",1302009,"Itapiranga",1
"AM",1302108,"Japurá",1
"AM",1302207,"Juruá",1
"AM",1302306,"Jutaí",1
"AM",1302405,"Lábrea",1
"AM",1302504,"Manacapuru",1
"AM",1302553,"Manaquiri",1
"AM",1302603,"Manaus",1
"AM",1302702,"Manicoré",1
"AM",1302801,"Maraã",1
"AM",1302900,"Maués",1
"AM",1303007,"Nhamundá",1
"AM",1303106,"Nova Olinda do Norte",1
"AM",1303205,"Novo Airão",1
"AM",1303304,"Novo Aripuanã",1
"AM",1303403,"Parintins",1
"AM",1303502,"Pauini",1
"AM",1303536,"Presidente Figueiredo",1
"AM",1303569,"Rio Preto da Eva",1
"AM",1303601,"Santa Isabel do Rio Negro",1
"AM",1303700,"Santo Antônio do Içá",1
"AM",1303809,"São Gabriel da Cachoeira",1
"AM",1303908,"São Paulo de Olivença",1
"AM",1303957,"São Sebastião do Uatumã",1
"AM",1304005,"Silves",1
"AM",1304062,"Tabatinga",1
"AM",1304104,"Tapauá",1
"AM",1304203,"Tefé",1
"AM",1304237,"Tonantins",1
"AM",1304260,"Uarini",1
"AM",1304302,"Urucará",1
"AM",1304401,"Urucurituba",1
"RR",1400027,"Amajari",1
"RR",1400050,"Alto Alegre",1
"RR",1400100,"Boa Vista",1
"RR",1400159,"Bonfim",1
"RR",1400175,"Cantá",1
"RR",1400209,"Caracaraí",1
"RR",1400233,"Caroebe",1
"RR",1400282,"Iracema",1
"RR",1400308,"Mucajaí",1
"RR",1400407,"Normandia",1
"RR",1400456,"Pacaraima",1
"RR",1400472,"Rorainópolis",1
"RR",1400506,"São João da Baliza",1
"RR",1400605,"São Luiz",1
"RR",1400704,"Uiramutã",1
"PA",1500107,"Abaetetuba",1
"PA",1500131,"Abel Figueiredo",1
"PA",1500206,"Acará",1
"PA",1500305,"Afuá",1
"PA",1500347,"Água Azul do Norte",1
"PA",1500404,"Alenquer",1
"PA",1500503,"Almeirim",1
"PA",1500602,"Altamira",1
"PA",1500701,"Anajás",1
"PA",1500800,"Ananindeua",1
"PA",1500859,"Anapu",1
"PA",1500909,"Augusto Corrêa",1
"PA",1500958,"Aurora do Pará",1
"PA",1501006,"Aveiro",1
"PA",1501105,"Bagre",1
"PA",1501204,"Baião",1
"PA",1501253,"Bannach",1
"PA",1501303,"Barcarena",1
"PA",1501402,"Belém",1
"PA",1501451,"Belterra",1
"PA",1501501,"Benevides",1
"PA",1501576,"Bom Jesus do Tocantins",1
"PA",1501600,"Bonito",1
"PA",1501709,"Bragança",1
"PA",1501725,"Brasil Novo",1
"PA",1501758,"Brejo Grande do Araguaia",1
"PA",1501782,"Breu Branco",1
"PA",1501808,"Breves",1
"PA",1501907,"Bujaru",1
"PA",1501956,"Cachoeira do Piriá",1
"PA",1502004,"Cachoeira do Arari",1
"PA",1502103,"Cametá",1
"PA",1502152,"Canaã dos Carajás",1
"PA",1502202,"Capanema",1
"PA",1502301,"Capitão Poço",1
"PA",1502400,"Castanhal",1
"PA",1502509,"Chaves",1
"PA",1502608,"Colares",1
"PA",1502707,"Conceição do Araguaia",1
"PA",1502756,"Concórdia do Pará",1
"PA",1502764,"Cumaru do Norte",1
"PA",1502772,"Curionópolis",1
"PA",1502806,"Curralinho",1
"PA",1502855,"Curuá",1
"PA",1502905,"Curuçá",1
"PA",1502939,"Dom Eliseu",1
"PA",1502954,"Eldorado do Carajás",1
"PA",1503002,"Faro",1
"PA",1503044,"Floresta do Araguaia",1
"PA",1503077,"Garrafão do Norte",1
"PA",1503093,"Goianésia do Pará",1
"PA",1503101,"Gurupá",1
"PA",1503200,"Igarapé-Açu",1
"PA",1503309,"Igarapé-Miri",1
"PA",1503408,"Inhangapi",1
"PA",1503457,"Ipixuna do Pará",1
"PA",1503507,"Irituia",1
"PA",1503606,"Itaituba",1
"PA",1503705,"Itupiranga",1
"PA",1503754,"Jacareacanga",1
"PA",1503804,"Jacundá",1
"PA",1503903,"Juruti",1
"PA",1504000,"Limoeiro do Ajuru",1
"PA",1504059,"Mãe do Rio",1
"PA",1504109,"Magalhães Barata",1
"PA",1504208,"Marabá",1
"PA",1504307,"Maracanã",1
"PA",1504406,"Marapanim",1
"PA",1504422,"Marituba",1
"PA",1504455,"Medicilândia",1
"PA",1504505,"Melgaço",1
"PA",1504604,"Mocajuba",1
"PA",1504703,"Moju",1
"PA",1504752,"Mojuí dos Campos",1
"PA",1504802,"Monte Alegre",1
"PA",1504901,"Muaná",1
"PA",1504950,"Nova Esperança do Piriá",1
"PA",1504976,"Nova Ipixuna",1
"PA",1505007,"Nova Timboteua",1
"PA",1505031,"Novo Progresso",1
"PA",1505064,"Novo Repartimento",1
"PA",1505106,"Óbidos",1
"PA",1505205,"Oeiras do Pará",1
"PA",1505304,"Oriximiná",1
"PA",1505403,"Ourém",1
"PA",1505437,"Ourilândia do Norte",1
"PA",1505486,"Pacajá",1
"PA",1505494,"Palestina do Pará",1
"PA",1505502,"Paragominas",1
"PA",1505536,"Parauapebas",1
"PA",1505551,"Pau D'Arco",1
"PA",1505601,"Peixe-Boi",1
"PA",1505635,"Piçarra",1
"PA",1505650,"Placas",1
"PA",1505700,"Ponta de Pedras",1
"PA",1505809,"Portel",1
"PA",1505908,"Porto de Moz",1
"PA",1506005,"Prainha",1
"PA",1506104,"Primavera",1
"PA",1506112,"Quatipuru",1
"PA",1506138,"Redenção",1
"PA",1506161,"Rio Maria",1
"PA",1506187,"Rondon do Pará",1
"PA",1506195,"Rurópolis",1
"PA",1506203,"Salinópolis",1
"PA",1506302,"Salvaterra",1
"PA",1506351,"Santa Bárbara do Pará",1
"PA",1506401,"Santa Cruz do Arari",1
"PA",1506500,"Santa Izabel do Pará",1
"PA",1506559,"Santa Luzia do Pará",1
"PA",1506583,"Santa Maria das Barreiras",1
"PA",1506609,"Santa Maria do Pará",1
"PA",1506708,"Santana do Araguaia",1
"PA",1506807,"Santarém",1
"PA",1506906,"Santarém Novo",1
"PA",1507003,"Santo Antônio do Tauá",1
"PA",1507102,"São Caetano de Odivelas",1
"PA",1507151,"São Domingos do Araguaia",1
"PA",1507201,"São Domingos do Capim",1
"PA",1507300,"São Félix do Xingu",1
"PA",1507409,"São Francisco do Pará",1
"PA",1507458,"São Geraldo do Araguaia",1
"PA",1507466,"São João da Ponta",1
"PA",1507474,"São João de Pirabas",1
"PA",1507508,"São João do Araguaia",1
"PA",1507607,"São Miguel do Guamá",1
"PA",1507706,"São Sebastião da Boa Vista",1
"PA",1507755,"Sapucaia",1
"PA",1507805,"Senador José Porfírio",1
"PA",1507904,"Soure",1
"PA",1507953,"Tailândia",1
"PA",1507961,"Terra Alta",1
"PA",1507979,"Terra Santa",1
"PA",1508001,"Tomé-Açu",1
"PA",1508035,"Tracuateua",1
"PA",1508050,"Trairão",1
"PA",1508084,"Tucumã",1
"PA",1508100,"Tucuruí",1
"PA",1508126,"Ulianópolis",1
"PA",1508159,"Uruará",1
"PA",1508209,"Vigia",1
"PA",1508308,"Viseu",1
"PA",1508357,"Vitória do Xingu",1
"PA",1508407,"Xinguara",1
"AP",1600055,"Serra do Navio",1
"AP",1600105,"Amapá",1
"AP",1600154,"Pedra Branca do Amapari",1
"AP",1600204,"Calçoene",1
"AP",1600212,"Cutias",1
"AP",1600238,"Ferreira Gomes",1
"AP",1600253,"Itaubal",1
"AP",1600279,"Laranjal do Jari",1
"AP",1600303,"Macapá",1
"AP",1600402,"Mazagão",1
"AP",1600501,"Oiapoque",1
"AP",1600535,"Porto Grande",1
"AP",1600550,"Pracuúba",1
"AP",1600600,"Santana",1
"AP",1600709,"Tartarugalzinho",1
"AP",1600808,"Vitória do Jari",1
"TO",1700251,"Abreulândia",1
"TO",1700301,"Aguiarnópolis",1
"TO",1700350,"Aliança do Tocantins",1
"TO",1700400,"Almas",1
"TO",1700707,"Alvorada",1
"TO",1701002,"Ananás",1
"TO",1701051,"Angico",1
"TO",1701101,"Aparecida do Rio Negro",1
"TO",1701309,"Aragominas",1
"TO",1701903,"Araguacema",1
"TO",1702000,"Araguaçu",1
"TO",1702109,"Araguaína",1
"TO",1702158,"Araguanã",1
"TO",1702208,"Araguatins",1
"TO",1702307,"Arapoema",1
"TO",1702406,"Arraias",1
"TO",1702554,"Augustinópolis",1
"TO",1702703,"Aurora do Tocantins",1
"TO",1702901,"Axixá do Tocantins",1
"TO",1703008,"Babaçulândia",1
"TO",1703057,"Bandeirantes do Tocantins",1
"TO",1703073,"Barra do Ouro",1
"TO",1703107,"Barrolândia",1
"TO",1703206,"Bernardo Sayão",1
"TO",1703305,"Bom Jesus do Tocantins",1
"TO",1703602,"Brasilândia do Tocantins",1
"TO",1703701,"Brejinho de Nazaré",1
"TO",1703800,"Buriti do Tocantins",1
"TO",1703826,"Cachoeirinha",1
"TO",1703842,"Campos Lindos",1
"TO",1703867,"Cariri do Tocantins",1
"TO",1703883,"Carmolândia",1
"TO",1703891,"Carrasco Bonito",1
"TO",1703909,"Caseara",1
"TO",1704105,"Centenário",1
"TO",1704600,"Chapada de Areia",1
"TO",1705102,"Chapada da Natividade",1
"TO",1705508,"Colinas do Tocantins",1
"TO",1705557,"Combinado",1
"TO",1705607,"Conceição do Tocantins",1
"TO",1706001,"Couto Magalhães",1
"TO",1706100,"Cristalândia",1
"TO",1706258,"Crixás do Tocantins",1
"TO",1706506,"Darcinópolis",1
"TO",1707009,"Dianópolis",1
"TO",1707108,"Divinópolis do Tocantins",1
"TO",1707207,"Dois Irmãos do Tocantins",1
"TO",1707306,"Dueré",1
"TO",1707405,"Esperantina",1
"TO",1707553,"Fátima",1
"TO",1707652,"Figueirópolis",1
"TO",1707702,"Filadélfia",1
"TO",1708205,"Formoso do Araguaia",1
"TO",1708254,"Tabocão",1
"TO",1708304,"Goianorte",1
"TO",1709005,"Goiatins",1
"TO",1709302,"Guaraí",1
"TO",1709500,"Gurupi",1
"TO",1709807,"Ipueiras",1
"TO",1710508,"Itacajá",1
"TO",1710706,"Itaguatins",1
"TO",1710904,"Itapiratins",1
"TO",1711100,"Itaporã do Tocantins",1
"TO",1711506,"Jaú do Tocantins",1
"TO",1711803,"Juarina",1
"TO",1711902,"Lagoa da Confusão",1
"TO",1711951,"Lagoa do Tocantins",1
"TO",1712009,"Lajeado",1
"TO",1712157,"Lavandeira",1
"TO",1712405,"Lizarda",1
"TO",1712454,"Luzinópolis",1
"TO",1712504,"Marianópolis do Tocantins",1
"TO",1712702,"Mateiros",1
"TO",1712801,"Maurilândia do Tocantins",1
"TO",1713205,"Miracema do Tocantins",1
"TO",1713304,"Miranorte",1
"TO",1713601,"Monte do Carmo",1
"TO",1713700,"Monte Santo do Tocantins",1
"TO",1713809,"Palmeiras do Tocantins",1
"TO",1713957,"Muricilândia",1
"TO",1714203,"Natividade",1
"TO",1714302,"Nazaré",1
"TO",1714880,"Nova Olinda",1
"TO",1715002,"Nova Rosalândia",1
"TO",1715101,"Novo Acordo",1
"TO",1715150,"Novo Alegre",1
"TO",1715259,"Novo Jardim",1
"TO",1715507,"Oliveira de Fátima",1
"TO",1715705,"Palmeirante",1
"TO",1715754,"Palmeirópolis",1
"TO",1716109,"Paraíso do Tocantins",1
"TO",1716208,"Paranã",1
"TO",1716307,"Pau D'Arco",1
"TO",1716505,"Pedro Afonso",1
"TO",1716604,"Peixe",1
"TO",1716653,"Pequizeiro",1
"TO",1716703,"Colméia",1
"TO",1717008,"Pindorama do Tocantins",1
"TO",1717206,"Piraquê",1
"TO",1717503,"Pium",1
"TO",1717800,"Ponte Alta do Bom Jesus",1
"TO",1717909,"Ponte Alta do Tocantins",1
"TO",1718006,"Porto Alegre do Tocantins",1
"TO",1718204,"Porto Nacional",1
"TO",1718303,"Praia Norte",1
"TO",1718402,"Presidente Kennedy",1
"TO",1718451,"Pugmil",1
"TO",1718501,"Recursolândia",1
"TO",1718550,"Riachinho",1
"TO",1718659,"Rio da Conceição",1
"TO",1718709,"Rio dos Bois",1
"TO",1718758,"Rio Sono",1
"TO",1718808,"Sampaio",1
"TO",1718840,"Sandolândia",1
"TO",1718865,"Santa Fé do Araguaia",1
"TO",1718881,"Santa Maria do Tocantins",1
"TO",1718899,"Santa Rita do Tocantins",1
"TO",1718907,"Santa Rosa do Tocantins",1
"TO",1719004,"Santa Tereza do Tocantins",1
"TO",1720002,"Santa Terezinha do Tocantins",1
"TO",1720101,"São Bento do Tocantins",1
"TO",1720150,"São Félix do Tocantins",1
"TO",1720200,"São Miguel do Tocantins",1
"TO",1720259,"São Salvador do Tocantins",1
"TO",1720309,"São Sebastião do Tocantins",1
"TO",1720499,"São Valério",1
"TO",1720655,"Silvanópolis",1
"TO",1720804,"Sítio Novo do Tocantins",1
"TO",1720853,"Sucupira",1
"TO",1720903,"Taguatinga",1
"TO",1720937,"Taipas do Tocantins",1
"TO",1720978,"Talismã",1
"TO",1721000,"Palmas",1
"TO",1721109,"Tocantínia",1
"TO",1721208,"Tocantinópolis",1
"TO",1721257,"Tupirama",1
"TO",1721307,"Tupiratins",1
"TO",1722081,"Wanderlândia",1
"TO",1722107,"Xambioá",1
"MA",2100055,"Açailândia",1
"MA",2100105,"Afonso Cunha",1
"MA",2100154,"Água Doce do Maranhão",1
"MA",2100204,"Alcântara",1
"MA",2100303,"Aldeias Altas",1
"MA",2100402,"Altamira do Maranhão",1
"MA",2100436,"Alto Alegre do Maranhão",1
"MA",2100477,"Alto Alegre do Pindaré",1
"MA",2100501,"Alto Parnaíba",1
"MA",2100550,"Amapá do Maranhão",1
"MA",2100600,"Amarante do Maranhão",1
"MA",2100709,"Anajatuba",1
"MA",2100808,"Anapurus",1
"MA",2100832,"Apicum-Açu",1
"MA",2100873,"Araguanã",1
"MA",2100907,"Araioses",1
"MA",2100956,"Arame",1
"MA",2101004,"Arari",1
"MA",2101103,"Axixá",1
"MA",2101202,"Bacabal",1
"MA",2101251,"Bacabeira",1
"MA",2101301,"Bacuri",1
"MA",2101350,"Bacurituba",1
"MA",2101400,"Balsas",1
"MA",2101509,"Barão de Grajaú",1
"MA",2101608,"Barra do Corda",1
"MA",2101707,"Barreirinhas",1
"MA",2101731,"Belágua",1
"MA",2101772,"Bela Vista do Maranhão",1
"MA",2101806,"Benedito Leite",1
"MA",2101905,"Bequimão",1
"MA",2101939,"Bernardo do Mearim",1
"MA",2101970,"Boa Vista do Gurupi",1
"MA",2102002,"Bom Jardim",1
"MA",2102036,"Bom Jesus das Selvas",1
"MA",2102077,"Bom Lugar",1
"MA",2102101,"Brejo",1
"MA",2102150,"Brejo de Areia",1
"MA",2102200,"Buriti",1
"MA",2102309,"Buriti Bravo",1
"MA",2102325,"Buriticupu",1
"MA",2102358,"Buritirana",1
"MA",2102374,"Cachoeira Grande",1
"MA",2102408,"Cajapió",1
"MA",2102507,"Cajari",1
"MA",2102556,"Campestre do Maranhão",1
"MA",2102606,"Cândido Mendes",1
"MA",2102705,"Cantanhede",1
"MA",2102754,"Capinzal do Norte",1
"MA",2102804,"Carolina",1
"MA",2102903,"Carutapera",1
"MA",2103000,"Caxias",1
"MA",2103109,"Cedral",1
"MA",2103125,"Central do Maranhão",1
"MA",2103158,"Centro do Guilherme",1
"MA",2103174,"Centro Novo do Maranhão",1
"MA",2103208,"Chapadinha",1
"MA",2103257,"Cidelândia",1
"MA",2103307,"Codó",1
"MA",2103406,"Coelho Neto",1
"MA",2103505,"Colinas",1
"MA",2103554,"Conceição do Lago-Açu",1
"MA",2103604,"Coroatá",1
"MA",2103703,"Cururupu",1
"MA",2103752,"Davinópolis",1
"MA",2103802,"Dom Pedro",1
"MA",2103901,"Duque Bacelar",1
"MA",2104008,"Esperantinópolis",1
"MA",2104057,"Estreito",1
"MA",2104073,"Feira Nova do Maranhão",1
"MA",2104081,"Fernando Falcão",1
"MA",2104099,"Formosa da Serra Negra",1
"MA",2104107,"Fortaleza dos Nogueiras",1
"MA",2104206,"Fortuna",1
"MA",2104305,"Godofredo Viana",1
"MA",2104404,"Gonçalves Dias",1
"MA",2104503,"Governador Archer",1
"MA",2104552,"Governador Edison Lobão",1
"MA",2104602,"Governador Eugênio Barros",1
"MA",2104628,"Governador Luiz Rocha",1
"MA",2104651,"Governador Newton Bello",1
"MA",2104677,"Governador Nunes Freire",1
"MA",2104701,"Graça Aranha",1
"MA",2104800,"Grajaú",1
"MA",2104909,"Guimarães",1
"MA",2105005,"Humberto de Campos",1
"MA",2105104,"Icatu",1
"MA",2105153,"Igarapé do Meio",1
"MA",2105203,"Igarapé Grande",1
"MA",2105302,"Imperatriz",1
"MA",2105351,"Itaipava do Grajaú",1
"MA",2105401,"Itapecuru Mirim",1
"MA",2105427,"Itinga do Maranhão",1
"MA",2105450,"Jatobá",1
"MA",2105476,"Jenipapo dos Vieiras",1
"MA",2105500,"João Lisboa",1
"MA",2105609,"Joselândia",1
"MA",2105658,"Junco do Maranhão",1
"MA",2105708,"Lago da Pedra",1
"MA",2105807,"Lago do Junco",1
"MA",2105906,"Lago Verde",1
"MA",2105922,"Lagoa do Mato",1
"MA",2105948,"Lago dos Rodrigues",1
"MA",2105963,"Lagoa Grande do Maranhão",1
"MA",2105989,"Lajeado Novo",1
"MA",2106003,"Lima Campos",1
"MA",2106102,"Loreto",1
"MA",2106201,"Luís Domingues",1
"MA",2106300,"Magalhães de Almeida",1
"MA",2106326,"Maracaçumé",1
"MA",2106359,"Marajá do Sena",1
"MA",2106375,"Maranhãozinho",1
"MA",2106409,"Mata Roma",1
"MA",2106508,"Matinha",1
"MA",2106607,"Matões",1
"MA",2106631,"Matões do Norte",1
"MA",2106672,"Milagres do Maranhão",1
"MA",2106706,"Mirador",1
